int64_field_0,venda_id,nome_produto,data_venda,quantidade
7192,5305,Olmecor 40mg 30 comprimidos revestidos,01-2024,
7206,22309,Vonau Flash 4mg Biolab 10 comprimidos de desintegração oral,01-2024,
7230,18301,"Zomig OD 2,5mg 2 comprimidos orodispersíveis",01-2024,
7315,6973,Alginac Retard 10 comprimidos revestidos de liberação retardada,01-2024,
7411,25753,Aplause 20mg 30 comprimidos revestidos,01-2024,
7512,17497,Helleva 80mg 2 comprimidos,01-2024,
7524,10633,Alenia 6mcg + 200mcg 60 cápsulas inalatórias + 1 inalador,01-2024,
7546,27853,Esomex 20mg 28 comprimidos revestidos,01-2024,
7558,5761,Flancox 500mg 14 comprimidos revestidos,01-2024,
7566,10561,Alenia Refil 12mcg + 400mcg 60 cápsulas inalatórias,01-2024,
7655,25429,Finalop 1mg 30 Comprimidos Revestidos,01-2024,
7735,15445,Flixotide Spray 250mcg 60 doses,01-2024,
7826,7669,Mesacol MMX 1200mg 30 comprimidos revestidos de liberação prolongada,01-2024,
7942,13201,Daflon 500mg FFPM 30 comprimidos revestidos,01-2024,
8073,14569,"Ginna 0,02g/g Creme Ginecológico 40g + 7 aplicadores de 5g cada",01-2024,
8175,8197,Tâmisa 30 Sem Parar 75mcg + 30mcg 28 drágeas,01-2024,
8313,13249,Procoralan 5mg 56 comprimidos revestidos,01-2024,
8444,10225,Osteotrat 35mg 4 comprimidos revestidos,01-2024,
8464,6013,Analgésico CataflamPRO Emulgel 60g,01-2024,
8834,14113,Miosan 10mg 10 comprimidos revestidos,01-2024,
9082,30005,Penvir 125mg 10 comprimidos revestidos,01-2024,
9170,11077,Digeliv 400GaIU 30 sachês com 2g cada,01-2024,
9580,29231,Osteotrat 35mg 4 comprimidos revestidos,01-2024,
9688,17521,Nevrix 100mg + 100mg + 5mg 90 comprimidos revestidos,01-2024,
9793,9097,Arcalion 200mg 20 drágeas,01-2024,
10082,30097,Bye Bye Fever para Adultos 2 unidades,01-2024,
10172,26257,Penvir 125mg 10 comprimidos revestidos,01-2024,
10316,12829,Vabam 20mg 15 comprimidos revestidos,01-2024,
10488,23725,Óleo de Girassol Skinage 200ml,01-2024,
10594,8977,Gracial 25mcg + 40mcg +125mcg + 30mcg 22 comprimidos,01-2024,
10751,23965,Soolantra 10mg/g Creme Dermatológico 30g,01-2024,
11271,25969,Endofer 50mg 30ml,01-2024,
11560,24937,Protetor Ocular Nexcare Grande 12un,01-2024,
11701,13933,Citalor 20mg 30 comprimidos revestidos,01-2024,
11761,15625,"Solução Nasal Sorine 0,5mg/ml 30ml",01-2024,
12137,20497,Probiatop 30 sachês com 1g,01-2024,
12251,26737,Xarope Vick Pediátrico 120ml,01-2024,
12304,26281,Penvir Lábia 10mg/g Creme Dermatológico 5g,01-2024,
12359,14485,Gino-Canesten Balance 7 bisnagas aplicadoras 5ml cada,01-2024,
12442,26125,Mestinon 60mg 60 comprimidos,01-2024,
12628,10945,Fluir 12mcg 60 cápsulas de pó para inalação,01-2024,
12673,19465,Levoid 175mcg 30 comprimidos,01-2024,
12831,15865,"Fluidificante e Descongestionante Nasal Blusoro Jet Infantil 0,9% 100ml",01-2024,
13604,18109,"Hexomedine 1mg/ml + 0,5mg/ml Spray 50ml",01-2024,
13758,20521,Suplemento Hidroeletrolítico Sorox Sabor Limão 550ml,01-2024,
13817,13885,Clinfar 10mg 30 comprimidos revestidos,01-2024,
13930,11797,Antiácido Simeco Plus Sabor Hortelã 240ml,01-2024,
14003,12889,Vatis 150mg 60 comprimidos revestidos,01-2024,
14250,22357,"Vonau Flash 8mg Biolab, 30 comprimidos de desintegração oral",01-2024,
14286,11917,Ritmoneuran RTM Flaconete 10ml,01-2024,
14421,16813,Glifage XR 850mg 30 comprimidos de liberação prolongada,01-2024,
14846,23185,"Candicort 20mg + 0,64mg Creme Dermatológica 30g",01-2024,
14964,26053,Valtrex 500mg 10 comprimidos revestidos,01-2024,
15127,26365,Teste de Gravidez Fast Test 1un,01-2024,
15220,16429,Jardiance 25mg 30 comprimidos revestidos,01-2024,
15290,16885,"Glucovance 500 + 2,5mg 30 comprimidos revestidos",01-2024,
15347,13861,Zinpass EZE 10mg + 10mg 30 comprimidos revestidos,01-2024,
15432,18385,Sumax 25mg 4 comprimidos revestidos,01-2024,
15520,13549,Trezor 10mg 30 comprimidos revestidos,01-2024,
15993,27469,Suplemento Vitamínico Vitergan Zinco PL 30 comprimidos revestidos,01-2024,
16519,29697,Nautex 8mg 10 Comprimidos,01-2024,
16916,24889,Protetor Ocular Estéril Sancare Tamanho P 10 unidades,01-2024,
17056,17293,Avide 100mg 9 cápsulas duras,01-2024,
17589,16381,Xigduo XR 5mg + 1000mg 60 comprimidos revestidos de liberação prolongada,01-2024,
17710,20017,"Livial 2,5mg 84 comprimidos",01-2024,
17857,16633,Linadib 5mg 30 comprimidos revestidos,01-2024,
18010,30013,Diovan Amlo Fix 160mg + 10mg 28 comprimidos revestidos,01-2024,
18357,24517,Itraspor 100mg 15 cápsulas duras,01-2024,
18937,22681,"Letrozol 2,5mg Eurofarma 30 comprimidos revestidos",01-2024,
19180,29417,Artrosil 320mg 20 cápsulas duras de liberação prolongada,01-2024,
19417,20533,Suplemento Hidroeletrolítico Sorox Sabor Uva 550ml,01-2024,
19899,19093,Suplemento Alimentar Ofolato G 15ml,01-2024,
20150,24961,Protetor Ocular Oftam Pequeno Bege 20un,01-2024,
20201,19861,Puran T4 75mcg 30 comprimidos,01-2024,
20735,28626,Probiatop 30 sachês com 1g,01-2024,
21994,29028,Ixium 50mg/g 12 sachês de Creme Dermatológico com 250mg cada,01-2024,
22659,28435,Puran T4 75mcg 30 comprimidos,01-2024,
23641,22597,Digesan 10mg 20 cápsulas,01-2024,
23884,22261,Meclin Jet 25mg 10 comprimidos mastigáveis,01-2024,
24486,28190,Dexaneurin Injetável 3 Ampolas A de 2mL e 3 Ampolas B de 1mL,01-2024,
25881,23917,Ixium 50mg/g 12 sachês de Creme Dermatológico com 250mg cada,01-2024,
26528,25801,Soanza XR 35mg 60 comprimidos,01-2024,
27744,25657,Gamax 30 Cápsulas Gelatinosas,01-2024,
1334,28816,Zovirax 50mg/g Creme Dermatológico 10g,01-2024,0.0
1590,1405,Analgésico Advil 400mg 8 cápsulas líquidas,01-2024,0.0
2011,26473,Antux Gotas 20ml,01-2024,0.0
2056,26833,"SECNIDAL - 1000mg, 2 comprimidos revestidos",01-2024,0.0
2644,15229,Siilif 100mg 60 comprimidos revestidos,01-2024,0.0
2662,27769,Gázia 40mg 28 comprimidos gastrorresistentes,01-2024,0.0
3464,19417,Levoid 125mcg 30 comprimidos,01-2024,0.0
3759,14233,"AdviPro 11,6mg Gel 30g",01-2024,0.0
3878,16573,"Insulina Humalog 300UI Refil para Caneta Eli Lilly, 2un com 3ml de solução de uso subcutâneo",01-2024,0.0
4088,30715,Desodalina 600mg 60 cápsulas,01-2024,0.0
4473,25093,"Combodart 0,5mg + 0,4mg 90 cápsulas gelatinosas duras de liberação prolongada",01-2024,0.0
4619,27889,Dexilant 60mg Takeda 30 cápsulas de liberação retardada,01-2024,0.0
5860,21517,"Solução Oftálmica Claroft 0,12mg/ml 15ml",01-2024,0.0
6108,5557,Prelone 5mg 10 comprimidos,01-2024,0.0
6381,19501,Allurene 2mg 28 comprimidos,01-2024,0.0
6922,18193,Desodalina 600mg 60 cápsulas,01-2024,0.0
7113,26041,Zovirax 50mg/g Creme Dermatológico 10g,01-2024,0.0
7610,27229,AltaD 50.000UI 4 cápsulas moles,01-2024,0.0
7673,10417,Caltrate Ca 600mg + D3 200 UI 60 comprimidos revestidos,01-2024,0.0
9181,28322,Allurene 2mg 28 comprimidos,01-2024,0.0
9528,23713,Óleo de Girassol Skinage 100ml,01-2024,0.0
10976,6097,Malvona Solução Oral 200ml,01-2024,0.0
11126,17257,Azukon MR 30mg 100 comprimidos de liberação prolongada,01-2024,0.0
11330,30339,"Combodart 0,5mg + 0,4mg 90 cápsulas gelatinosas duras de liberação prolongada",01-2024,0.0
11481,30510,Siilif 100mg 60 comprimidos revestidos,01-2024,0.0
11850,709,"Solução Oftálmica Ster MD 1,2mg/ml 10ml",01-2024,0.0
11964,15349,"Atrovent 0,250mg/ml Gotas 20ml",01-2024,0.0
12677,18949,"INIBINA - 10mg, 20 comprimidos",01-2024,0.0
12685,17761,Diurix 25mg 30 comprimidos,01-2024,0.0
12861,10753,Clenil Compositum HFA Spray 50mcg + 100mcg 200 doses 10ml,01-2024,0.0
12972,22645,Digestina 10mg  20 comprimidos,01-2024,0.0
13270,8269,Tâmisa 30 Sem Parar 75mcg + 30mcg 84 drágeas,01-2024,0.0
14404,15301,Symbicort Spray 6/200 mcg 60 doses de pó de uso inalatório,01-2024,0.0
16316,27721,Omenax 20mg 56 cápsulas gelatinosas duras,01-2024,0.0
18373,21457,Mydriacyl 10mg/ml Solução Oftálmica 5ml,01-2024,0.0
19627,24541,"Vitanol A 0,25mg/g 30g Creme Dermatológico",01-2024,0.0
20329,3649,"Press Plus 2,5mg + 10mg 30 cápsulas",01-2024,0.0
20456,4165,Naprix A 10mg + 5mg 30 cápsulas,01-2024,0.0
20587,12277,Diosmin SDU 900mg + 100mg Sabor Laranja / Limão 15 sachês com 5g cada,01-2024,0.0
22277,8713,"Iziz 2,5mg + 1,5mg 28 Comprimidos Revestidos",01-2024,0.0
22549,14101,Miosan CAF 5mg + 30mg 15 comprimidos revestidos,01-2024,0.0
23516,27493,DPrev 2.000UI 60 comprimidos revestidos,01-2024,0.0
24064,30442,Tâmisa 30 Sem Parar 75mcg + 30mcg 84 drágeas,01-2024,0.0
24183,6385,Fledoid 500 Gel 40g,01-2024,0.0
24517,8953,"Micropil 0,075mg + 0,030mg 63 comprimidos revestidos",01-2024,0.0
25017,15997,Lavagem Nasal Nasoar XT 15 sachês + frasco aplicador,01-2024,0.0
25424,24349,Azelan Gel 150mg/g 30g,01-2024,0.0
25863,13657,Livalo 4mg 60 comprimidos revestidos,01-2024,0.0
26566,23677,Gel Dersani Hidrogel com Alginato 30g,01-2024,0.0
27232,4237,Naprix A 5mg + 5mg 30 cápsulas,01-2024,0.0
29417,22801,Suplemento Alimentar Calcitran Triflex 30 comprimidos,01-2024,0.0
29529,3445,Ablok 50mg 30 comprimidos,01-2024,0.0
29985,3709,"Cor-Select 2,5mg 30 comprimidos Biolab",01-2024,0.0
30216,10081,Equitam 120mg 30 comprimidos revestidos,01-2024,0.0
105,15241,Siilif 100mg 30 comprimidos revestidos,01-2024,1.0
579,25765,Buona 150mg 30 cápsulas,01-2024,1.0
604,17773,Flogoral 3mg Pastilhas Sabor Cereja 12un,01-2024,1.0
702,23509,"Ad-Muc 0,4% Soluçao Spray 30ml",01-2024,1.0
1893,2401,AAS Infantil 100mg com 30 comprimidos,01-2024,1.0
2437,22057,Complexo Homeopático Almeida Prado N 16 60 Comprimidos,01-2024,1.0
2455,4669,Exforge HCT 320mg + 25mg + 10mg 28 comprimidos revestidos,01-2024,1.0
4419,16705,"Nesina 12,5mg 30 comprimidos revestidos",01-2024,1.0
4526,8857,Diminut 75mcg + 20mcg 21 comprimidos revestidos,01-2024,1.0
5138,1597,Salicetil Infantil 100mg 10 comprimidos,01-2024,1.0
5345,15529,"Descongestionante Nasal Sorine SSC 0,9% Spray Suave Jato Contínuo 100ml",01-2024,1.0
5549,11521,Antiácido Estomazil Pastilhas Sabor Abacaxi 20 comprimidos mastigáveis,01-2024,1.0
6323,21565,Cromolerg 2% Solução Oftálmica 5ml,01-2024,1.0
6946,1993,Lisador Dip 1g 20 comprimidos,01-2024,1.0
7023,27481,Suplemento Vitamínico Vitergan Zinco 30 comprimidos revestidos,01-2024,1.0
7243,30584,Analgésico Pomada Gelol 20g,01-2024,1.0
9481,26797,"Annita 20mg/ml, 1 frasco com 45ml de pó para suspensão de uso oral",01-2024,1.0
11210,15961,Spray Nasal Aquoso Nasonex 120 doses 17ml,01-2024,1.0
11806,21241,Xantinon 30 comprimidos revestidos,01-2024,1.0
11853,7261,Voltaren 75mg/3ml Solução Injetável 5 ampolas com 3ml cada,01-2024,1.0
12932,17929,Pastilhas Benalet Sabor Mel e Limão 4un,01-2024,1.0
13410,27061,Suplemento Alimentar Doss 2.000UI Vitamina D3 30 cápsulas gelatinosas moles,01-2024,1.0
14163,28713,Androsten UNO 280mg 15 comprimidos revestidos,01-2024,1.0
14214,29299,Siilif 100mg 30 comprimidos revestidos,01-2024,1.0
16623,3757,Ablok Plus 100mg 25mg 30 comprimidos,01-2024,1.0
17469,18085,Solução Malvatricin 100ml,01-2024,1.0
17798,18073,Solução Antisséptica Malvatricin Spray 50ml,01-2024,1.0
18075,8077,"Tantin 0,060mg + 0,015mg 28 comprimidos revestidos",01-2024,1.0
18365,1801,Traumeel S 50 comprimidos sublinguais,01-2024,1.0
20175,25681,Androsten UNO 280mg 15 comprimidos revestidos,01-2024,1.0
21236,14941,Buscopan Gotas 10mg 20ml,01-2024,1.0
21274,20065,Prolive 30 cápsulas,01-2024,1.0
21455,18025,Pastilha Ciflogex Sabor Menta e Limão 12un,01-2024,1.0
21502,18157,Pastilhas Vick Drops Sabor Artificial de Laranja 10g,01-2024,1.0
22608,26269,"Neutrofer Fólico 250mg/ml + 0,2mg/ml Gotas 30ml",01-2024,1.0
22766,2869,Spidufen 770mg 6 comprimidos revestidos,01-2024,1.0
23059,27793,Sucrafilm 200mg/m 20 flaconetes com 10ml cada,01-2024,1.0
24701,6997,Citoneurin 5.000 100mg + 100mg + 5.000mcg 60 drágeas,01-2024,1.0
24892,27997,Pastilhas Benalet Sabor Mel e Limão 4un,01-2024,1.0
25683,5125,Brasart HCT 320mg + 25mg 30 comprimidos revestidos,01-2024,1.0
26813,28525,Solução Oftálmica TriSorb 15ml,01-2024,1.0
26955,30609,Complexo Homeopático Almeida Prado N 16 60 Comprimidos,01-2024,1.0
27024,30473,Buscopan Gotas 10mg 20ml,01-2024,1.0
27206,25933,Suplemento Alimentar Sulfato Ferroso 125mg/ml Arte Nativa Sabor Framboesa 30ml,01-2024,1.0
28058,10981,Singulair 5mg 30 comprimidos mastigáveis,01-2024,1.0
28272,7525,Bálsamo Bengué Pomada 20g,01-2024,1.0
29332,13105,"Clexane 40mg/0,4ml 10 seringas preenchidas com 0,4ml com sistema de segurança",01-2024,1.0
29639,14293,Analgésico Pomada Gelol 20g,01-2024,1.0
29724,21373,Solução Oftálmica TriSorb 15ml,01-2024,1.0
29939,24433,Pomada Minancora 30g,01-2024,1.0
30283,9505,Fluviral Dia 20 comprimidos,01-2024,1.0
1331,15493,Broncho - Vaxom 7mg 10 cápsulas,01-2024,2.0
2330,3721,"Flux SR 1,5mg 30 comprimidos revestidos",01-2024,2.0
2460,14125,Miosan 5mg 30 comprimidos,01-2024,2.0
2587,14041,Rosucor 10mg 60 comprimidos revestidos,01-2024,2.0
2638,13873,Zinpass 10mg 30 comprimidos revestidos,01-2024,2.0
2980,21625,"Solução Oftálmica Pred Mild 0,12% 10ml",01-2024,2.0
3540,4021,Micardis Anlo 80mg + 5mg 30 comprimidos,01-2024,2.0
4114,12469,"Embo 2,5mg 60 comprimidos revestidos",01-2024,2.0
4197,25621,Promensil 100mg 30 comprimidos revestidos,01-2024,2.0
4661,10165,Motore 250mg 120 cápsulas,01-2024,2.0
5077,373,Creme Dermatológico Maleato de Dexclorfeniramina 10mg/g EMS 30g,01-2024,2.0
5209,8353,Slinda 4mg 28 comprimidos revestidos,01-2024,2.0
6014,7393,Profenid 100mg/2ml Solução Injetável 6 ampolas com 2ml cada,01-2024,2.0
6556,22981,"Auris-Sedina 18,6mg/ml + 1,3mg/ml 10ml",01-2024,2.0
9048,4633,"Exforge HCT 160mg + 12,5mg + 10mg 28 comprimidos revestidos",01-2024,2.0
9745,11497,Engov 24 comprimidos,01-2024,2.0
10409,13705,Vast 20mg 30 comprimidos revestidos,01-2024,2.0
10788,26449,Vibral 30mg/ml Gotas 10ml,01-2024,2.0
11433,19429,Levoid 150mcg 30 comprimidos,01-2024,2.0
11616,22069,Litocit 1080mg 60 comprimidos de liberação prolongada,01-2024,2.0
11660,17185,Daonil 5mg 30 comprimidos,01-2024,2.0
14207,20053,Suplemento Hidroeletrolítico Pedialyte Max Morango 500ml,01-2024,2.0
14257,29548,Miosan 5mg 30 comprimidos,01-2024,2.0
14281,12529,Dacxi 15mg 28 comprimidos revestidos,01-2024,2.0
15788,25333,Pantogar Biolab 90 Cápsulas,01-2024,2.0
16521,9277,"Laxante Guttalax 7,5mg/ml 30ml",01-2024,2.0
17075,11677,LuftaGastroPro Sachê 10ml,01-2024,2.0
18116,17005,Galvus Met 50mg + 1000mg 56 comprimidos revestidos,01-2024,2.0
19217,13561,Trezor 40mg 30 comprimidos revestidos,01-2024,2.0
19831,28520,"Laxante Guttalax 7,5mg/ml 30ml",01-2024,2.0
20271,10453,Piascledine 300 100mg + 200mg 30 cápsulas,01-2024,2.0
20843,9241,Luftal Gel Caps 125mg - 20 Cápsulas Gelatinosas,01-2024,2.0
22349,14245,"AdviPro 11,6mg Gel 60g",01-2024,2.0
24978,16033,"Neosoro 0,5mg/ml 30ml",01-2024,2.0
27975,21085,Probiótico Enterogermina Plus 5 frascos de 5ml,01-2024,2.0
29007,22945,Oto-Xilodase Gotas 8ml,01-2024,2.0
29049,409,Loratadina 1mg/ml EMS Sabor Cereja 100ml,01-2024,2.0
29493,15469,Seebri 50mcg 30 cápsulas com pó para inalação + 1 inalador,01-2024,2.0
30753,28031,Engov 24 comprimidos,01-2024,2.0
1584,10705,Berotec 100mcg/ml 200 doses 10ml,01-2024,3.0
1738,14437,Fentizol Óvulo 600mg 1 óvulo + 1 aplicador,01-2024,3.0
2225,29240,Plenance EZE 20mg+10mg 30 Cápsulas,01-2024,3.0
3242,23977,"Esmalte Loceryl 50mg/ml 2,5ml",01-2024,3.0
4023,12997,Entresto 49mg + 51mg 60 comprimidos revestidos,01-2024,3.0
5168,337,Maleato de Dexclorfeniramina 2mg/5ml Cimed 120ml,01-2024,3.0
5341,27998,Solução Oftálmica Simbrinza 10mg/ml + 2mg/ml 8ml,01-2024,3.0
5468,24649,Foldan 50mg/g Pomada 45g,01-2024,3.0
5792,17941,Melagrião Própolis e Gengibre Spray Sabor Menta 30ml,01-2024,3.0
7534,3121,"Nienza 12,5mg 30 comprimidos",01-2024,3.0
8042,7573,"DEFLAIMMUN - 7,5mg, 20 comprimidos",01-2024,3.0
8275,4609,"Diovan HCT 80mg + 12,5mg 28 comprimidos revestidos",01-2024,3.0
8898,28272,Maleato de Dexclorfeniramina 2mg/5ml Cimed 120ml,01-2024,3.0
9155,11413,Leite de Magnésia Eno Tradicional 350ml,01-2024,3.0
9424,19381,Levoid 25mcg 30 comprimidos,01-2024,3.0
9927,20917,Suplemento Hidroeletrolítico Hidralyte Uva 500ml,01-2024,3.0
10540,22825,Ártico Caps 500mg + 400mg 30 cápsulas moles,01-2024,3.0
11302,8593,Ammy 4mg 28 comprimidos revestidos,01-2024,3.0
11369,26533,Xarope Stodal 150ml,01-2024,3.0
11385,23017,Parkidopa 250mg + 25mg 30 comprimidos,01-2024,3.0
11987,1669,Cimegripe Dor e Febre 750mg 20 comprimidos,01-2024,3.0
13002,24637,Andriodermol 50ml,01-2024,3.0
13911,29963,Laxante Muvinlax Sabor Limão 20 sachês com 14g,01-2024,3.0
14047,29863,Cimegripe Dor e Febre 750mg 20 comprimidos,01-2024,3.0
15519,15145,LuftaFEM 200mg + 500mg 6 comprimidos revestidos,01-2024,3.0
15845,5341,Tandrilax Aché 30 comprimidos,01-2024,3.0
16154,15733,"Fluidificante e Descongestionante Nasal Narix Spray 0,9% 50ml",01-2024,3.0
16787,25777,Alurax 2mg 30 Comprimidos,01-2024,3.0
17145,13273,Isordil Sublingual 5mg 30 comprimidos sublinguais,01-2024,3.0
18469,8221,Primera 30 150mcg + 30mcg 21 comprimidos,01-2024,3.0
18681,553,Pergo 2mg/ml 120ml,01-2024,3.0
18888,733,"Avamys Spray Nasal 27,5mg 120 doses 9,1ml",01-2024,3.0
19170,2341,Analgésico Dorflex 36 comprimidos,01-2024,3.0
19259,14953,Buscopan Composto 20 comprimidos revestidos,01-2024,3.0
19447,6493,Betnovate N 1mg/g + 5mg/g Pomada Dermatológica 30g,01-2024,3.0
19864,9601,Naldecon Noite 24 comprimidos,01-2024,3.0
20141,20749,Fibras Normaten Fit 10 Sachês,01-2024,3.0
20256,29640,Primera 30 150mcg + 30mcg 21 comprimidos,01-2024,3.0
20345,11869,Sédatif PC Boiron 60 Comprimidos Revestidos,01-2024,3.0
20707,18469,Neosaldina Dip 1g 20 comprimidos,01-2024,3.0
21980,1,Niquitin 21mg 7 adesivos transdérmicos transparentes,01-2024,3.0
22699,21913,Solução Oftálmica Simbrinza 10mg/ml + 2mg/ml 8ml,01-2024,3.0
