Marca,GTIN,Desconto,Preco com desconto,link,Nome,Desconto com pix,Preco pix,Preco unitario
Ems,7894916550048,,,https://www.farmaponte.com.br/cloridrato-de-propranolol-ems-10mg-caixa-com-30-comprimidos/p,"Cloridrato De Propranolol Ems 10mg, Caixa Com 30 Comprimidos",,,
Ems,7896004703398,,,https://www.farmaponte.com.br/dipirona-monoidratada-comprimido-ems-500mg-blister-com-10-comprimidos/p,"Dipirona Monoidratada Comprimido Ems 500mg, Blister Com 10 Comprimidos",,,
Aché,7896658025112,,,https://www.farmaponte.com.br/prolive-55mg-30cap-zz/p,Suplemento Alimentar Prolive 30 Cápsulas,,,
Cimed,7896523210865,,,https://www.farmaponte.com.br/ducodil-5mg-caixa-com-20-comprimidos-revestidos/p,"Ducodil 5mg, Caixa Com 20 Comprimidos Revestidos",,,
Aché,7896658028519,,,https://www.farmaponte.com.br/steaton-200mg-caixa-com-60-capsulas/p,"Steaton 200mg, Caixa Com 60 Capsulas",,,
Daiichi-Sankyo,7897411601543,,,https://www.farmaponte.com.br/hirudoid-500mg-gel-40gr/p,Hirudoid 5mg G Gel Bisnaga Com 40g,,,
None,5702191025637,,,https://www.farmaponte.com.br/azelan-150mgg-caixa-com-1-bisnaga-com-30g-de-gel-de-uso-dermatologico/p,"Azelan 150mg G, Caixa Com 1 Bisnaga Com 30g De Gel De Uso Dermatologico",,,
Ems,7896004801902,,,https://www.farmaponte.com.br/emistin-comprimido-1mg-05mg-caixa-com-20-comprimidos/p,"Emistin Comprimido 1mg + 0,5mg, Caixa Com 20 Comprimidos",,,
Neo Química,7896714224688,,,https://www.farmaponte.com.br/nistatina-oxido-de-zinco-neo-quimica-100000uig-200mgg-caixa-com-1-bisnaga-com-60g-de-pomada-de-uso-dermatologico/p,Nistatina 100.000ui G + Óxido De Zinco 200mg G Neo Química Pomada 60g,,,
Pf Consumer Healthcare,7896015560027,,,https://www.farmaponte.com.br/sal-de-frutas-eno-2-envelopes-com-5g-de-po-efervescente-de-uso-oral-tradicional/p,"Sal De Frutas Eno 2 Envelopes Com 5g De Po Efervescente De Uso Oral, Tradicional",,,
Bd,2900003056807,,,https://www.farmaponte.com.br/seringa-bd-solome-5ml-ca30x7/p,Seringa Bd Solome 5 Ml Com Agulha 30x7,,,
None,7898902180981,,,https://www.farmaponte.com.br/kit-lente-de-contato-trea-leans-360ml-120ml-lebon/p,Kit Lente De Contato Trea Leans 360ml + 120ml - Lebon,,,
Ems,7896004817569,,,https://www.farmaponte.com.br/balsamo-bengue-025gg-025gg-caixa-com-1-bisnaga-com-20g-de-pomada-de-uso-dermatologico/p,Bálsamo Bengué Pomada 20g,,,
Medley,7896422516921,,,https://www.farmaponte.com.br/alopurinol-medley-100mg-caixa-com-30-comprimidos/p,"Alopurinol Medley 100mg, Caixa Com 30 Comprimidos",,,
None,7896004749716,,,https://www.farmaponte.com.br/tadalafila-5mg-germed-caixa-com-30-comprimidos-revestidos/p,"Tadalafila 5mg Germed, Caixa Com 30 Comprimidos Revestidos",,,
Prati-Donaduzzi,7898148307470,,,https://www.farmaponte.com.br/ibuprofeno-600mg-10cpr-prat-x28/p,Ibuprofeno 600 Mg 10 Comprimidos Prat,,,
Tena,7896770982249,,,https://www.farmaponte.com.br/roupa-intima-tena-pants-noturna-p-m-com-24-unidades/p,Roupa Intima Tena Pants Noturna P M Com 24 Unidades,,,
Ems,7896004711195,,,https://www.farmaponte.com.br/nistatina-oxido-de-zinco-ems-100000uig-200mgg-caixa-com-1-bisnaga-com-60g-de-pomada-de-uso-dermatologico/p,Nistatina + Óxido De Zinco - Ems 100mui + 200mg Pomada Bisnaga Com 60g,,,
Sanofi,7891058017507,,,https://www.farmaponte.com.br/dorflex-35mg-300mg-50mg-caixa-com-36-comprimidos-porta-blister-1-unidade/p,"Dorflex, Caixa Com 36 Comprimidos",,,
None,7891317022532,,,https://www.farmaponte.com.br/vitamina-d-prosso-d-km-2000ui-com-30-comprimidos/p,Vitamina D Prosso D+ Km 2000ui Com 30 Comprimidos,,,
None,7908134200712,,,https://www.farmaponte.com.br/polivitaminico-regenesis-premium-com-lipinova-para-gestantes-60-capsulas/p,Polivitamínico Regenesis Premium Com Lipinova Para Gestantes 60 Cápsulas,,,
Medley,7891058002657,,,https://www.farmaponte.com.br/hidroclorotiazida-sanofi-medley-25mg-caixa-com-30-comprimidos/p,"Hidroclorotiazida Sanofi Medley 25mg, Caixa Com 30 Comprimidos",,,
Eurofarma,7891317004316,,,https://www.farmaponte.com.br/prednisolona-eurofarma-5mg-caixa-com-20-comprimidos/p,Prednisolona 5mg Eurofarma 20 Comprimidos,,,
None,7908228804307,,,https://www.farmaponte.com.br/polivitaminico-dr-good-hair-para-cabelos-60-pastilhas/p,Polivitamínico Dr. Good Hair Para Cabelos 60 Pastilhas,,,
Ems,7894916513104,,,https://www.farmaponte.com.br/neutrofer-prev-susp-60ml-zz/p,Suplemento Neutrofer Prev 60ml Frasco,,,
None,7891035650147,,,https://www.farmaponte.com.br/lufta-gastro-pro-c-12-sachet-10ml/p,Lufta Gastro Pro C 12 Sachet 10ml,,,
Farmoquímica,7898040323844,,,https://www.farmaponte.com.br/probiatop-30-saches-com-1g-de-po-para-solucao-de-uso-oral/p,Probiatop 30 Saches Com 1g De Po Para Solucao De Uso Oral,,,
None,7894916513722,,,https://www.farmaponte.com.br/kollis-solucao-gotas-8ml/p,Suplemento Alimentar Pediátrico Kollis 8ml Gotas,,,
None,7896226109732,,,https://www.farmaponte.com.br/colaten-force-60-comprimidos-revestidos/p,Suplemento Alimentar Colaten Force 60 Comprimidos,,,
None,7896006227052,,,https://www.farmaponte.com.br/mega-mater-30caps/p,Mega Mater 30 Cápsulas Moles,,,
Neo Química,7896714292168,,,https://www.farmaponte.com.br/naturetti-caixa-com-16-capsulas-gelatinosas-duras/p,Naturetti 16 Cápsulas,,,
None,7896004715353,,,https://www.farmaponte.com.br/alendronato-sod-70mg-4cpr-ger/p,Alendronato Sod 70mg 4cpr Ger,,,
None,7896181922797,,,https://www.farmaponte.com.br/valsartana-hct-80mg-125mg-caixa-com-30-comprimidos-revestidos/p,"Valsartana Hct 80mg + 12,5mg, Caixa Com 30 Comprimidos Revestidos",,,
Geolab,7899095238299,,,https://www.farmaponte.com.br/latanoprosta-005mg-col-geo/p,Latanoprosta 50mcg Ml,,,
Hisamitsu,7896227800874,,,https://www.farmaponte.com.br/salonpas-emplastro-11414mg-2184mg-13104mg-2840mg-1842mg-caixa-com-2-emplastros/p,Salonpas Grande Adesivo Com 2 Unidades,,,
Apis Flora,7896663302529,,,https://www.farmaponte.com.br/propomax-zero-spray-propolis-alcacus-e-menta-com-30ml/p,"Propomax Zero Spray Propolis, Alcacus E Menta Com 30ml",,,
None,7908135001660,,,https://www.farmaponte.com.br/emulvit-silver-60cpr/p,Polivitamínico Emulvit Silver +50  60 Comprimidos,,,
Moksha8 Brasil,7898953165296,,,https://www.farmaponte.com.br/ultraproct-ldo-1mgg-20mgg-caixa-com-1-bisnaga-com-30g-de-creme-de-uso-retal-aplicador/p,"Ultraproct Ldo 1mg G + 20mg G, Caixa Com 1 Bisnaga",,,
Libbs,7896094210134,,,https://www.farmaponte.com.br/matriom-com-30-comprimidos/p,Suplemento Alimentar Matrion Com 30 Comprimidos,,,
Libbs,7896094201460,,,https://www.farmaponte.com.br/natifa-1mg-caixa-com-28-comprimidos-revestidos/p,"Natifa 1mg, Caixa Com 28 Comprimidos Revestidos",,,
Termogel,7896085118135,,,https://www.farmaponte.com.br/bolsa-termogel-pequena-ref100/p,Bolsa Termogel Pequena Ref100,,,
Accu-Chek,4015630064250,,,https://www.farmaponte.com.br/kit-accu-chek-active-medidor-lancetador-10-lancetas-10-tiras/p,Kit Accu-Chek Active Medidor + Lancetador + 10 Lancetas + 10 Tiras,,,
Biolab,7896112403418,,,https://www.farmaponte.com.br/contractubex-100mgg-10mgg-04mgg-caixa-com-1-bisnaga-com-20g-de-gel-de-uso-dermatologico/p,"Contractubex 100mg G + 10mg G + 0,4mg G, Caixa Com 1 Bisnaga Com 20g De Gel De Uso Dermatologico",,,
None,7896004780191,,,https://www.farmaponte.com.br/acido-ursodesoxicolico-ems-300mg-caixa-com-30-comprimidos/p,"Ácido Ursodesoxicólico Ems 300mg, Caixa Com 30 Comprimidos",,,
None,0000078909809,,,https://www.farmaponte.com.br/agulha-descartavel-25x6-bd-unit/p,Agulha Descartavel 25x6 Bd Unit,,,
Cifarma,7908020500735,,,https://www.farmaponte.com.br/cobapetit-xpe-100ml/p,"Cobapetit 0,8mg Ml + 0,2mg Ml Xarope 100ml",,,
Cimed,7896523208770,,,https://www.farmaponte.com.br/zz-fluconazol-150mg2cap-cim-of/p,Fluconazol 150mg 2cap Cim Of,,,
Merck,7891721202858,,,https://www.farmaponte.com.br/levotiroxina-sodica-merck-100mcg-caixa-com-30-comprimidos/p,"Levotiroxina Sodica Merck 100mcg, Caixa Com 30 Comprimidos",,,
Takeda,7896641801792,,,https://www.farmaponte.com.br/proctyl-50mgg-10mgg-caixa-com-1-bisnaga-com-30g-de-pomada-de-uso-retal-10-aplicadores/p,"Proctyl 50mg G + 10mg G, Caixa Com 1 Bisnaga Com 30g De Pomada De Uso Retal + 10 Aplicadores",,,
Não encontrada,Não encontrado,,,https://www.farmaponte.com.br/spray-nasal-cimespray-9mg-ml-cimed-50ml/p,Spray Nasal Cimespray 9mg Ml Cimed 50ml,,,
Novartis,7896548140284,,,https://www.farmaponte.com.br/cerumin-04mgml-140mgml-caixa-com-1-frasco-gotejador-com-8ml-de-solucao-de-uso-otologico/p,"Cerumin 0,4mg Ml + 140mg Ml, Caixa Com 1 Frasco Gotejador Com 8ml De Solucao De Uso Otologico",,,
None,7896004759975,,,https://www.farmaponte.com.br/lacday-60cpr-mast/p,Lacday 10.000u.Fcc 60 Comprimidos Mastigáveis,,,
G-Tech,7898301059642,,,https://www.farmaponte.com.br/tira-teste-de-glicose-g-tech-free-lite-25-unidades/p,Tira-Teste De Glicose G-Tech Free Lite 25 Unidades,,,
