Marca,GTIN,Desconto,Preco com desconto,link,Nome,Desconto com pix,Preco pix,Preco unitario
Eurofarma,7891058021894,2.37,17.4,https://www.drogariaveracruz.com.br/coltrax-2mgml-3-ampolas-com-2ml/p,Coltrax 2mg/ml 3 ampolas com 2ml,3.24,16.53,19.77
Neo Quimica,7896714231143,7.28,4.86,https://www.drogariaveracruz.com.br/neosoro-05mgml-30ml/p,"Neosoro 0,5mg/ml 30ml",7.52,4.62,12.14
Cimed,7896523227573,16.15,5.39,https://www.drogariaveracruz.com.br/loratadina-10mg-cimed-12-comprimidos/p,Loratadina 10mg Cimed 12 comprimidos,16.42,5.12,21.54
Bayer,7891106900775,0.69,6.95,https://www.drogariaveracruz.com.br/analgesico-cafiaspirina-4-comprimidos/p,Cafiaspirina 4 comprimidos,1.04,6.6,7.64
Apsen,7896637026222,28.08,72.21,https://www.drogariaveracruz.com.br/digeliv-400-gaiu-30-saches-com-2g-cada/p,Digeliv 400GaIU 30 sachês com 2g cada,31.69,68.6,100.29
Weleda,7893093067196,7.8,89.7,https://www.drogariaveracruz.com.br/sinudoron-weleda-80-comprimidos/p,Sinudoron Weleda 80 comprimidos,12.28,85.22,97.5
Althaia,7898687730593,,31.9,https://www.drogariaveracruz.com.br/suplemento-alimentar-althaia-vitamina-d3-2000ui-30-capsulas-gel/p,Vitamina D3 2.000UI Althaia 30 cápsulas gel,,30.31,
Ofolato,7896094919662,,121.9,https://www.drogariaveracruz.com.br/suplemento-alimentar-ofolato-d-fer-2000ui-30-comprimidos/p,Suplemento Alimentar Ofolato D Fer 2000UI 30 comprimidos,,115.81,
Boehringer,7896026306188,,321.27,https://www.drogariaveracruz.com.br/jardiance-25mg-30-comprimidos-revestidos/p,Jardiance 25mg 30 comprimidos revestidos,,305.21,
Ifal,7898016410066,4.35,39.15,https://www.drogariaveracruz.com.br/nitrato-de-prata-bastao-900-ifal-08g/p,"Nitrato de Prata Bastão 90,0% Ifal 0,8g",6.31,37.19,43.5
Weleda,7893093083677,6.79,90.16,https://www.drogariaveracruz.com.br/infludoron-globulos-weleda-20g/p,Infludoron Glóbulos Weleda 20g,11.3,85.65,96.95
Bionn,7898616360303,9.2,67.43,https://www.drogariaveracruz.com.br/glargilin-100uiml-1-caneta-descartavel-preenchida-com-3ml-de-solucao-injetavel/p,Glargilin 100ui/ml 1 caneta descartável preenchida com 3ml de solução injetável,12.57,64.06,76.63
Weleda,7893093067134,,98.5,https://www.drogariaveracruz.com.br/arnica-weleda-80-comprimidos/p,Arnica Weleda 80 comprimidos,,93.58,
Astrazeneca,5000456028561,59.24,177.72,https://www.drogariaveracruz.com.br/forxiga-10mg-30-comprimidos-revestidos/p,Forxiga 10mg 30 comprimidos revestidos,68.13,168.83,236.96
Procter&amp;Gamble,7500435230971,53.95,215.81,https://www.drogariaveracruz.com.br/citoneurin-5000-90-drageas/p,Citoneurin 5.000 90 comprimidos revestidos,64.74,205.02,269.76
Cimed,7896523212524,3.08,3.91,https://www.drogariaveracruz.com.br/dimetigass-gotas-75mg-15ml/p,Dimetigass Gotas 75mg 15ml,3.28,3.71,6.99
Sigma Pharma,7894916501408,12.59,66.08,https://www.drogariaveracruz.com.br/indux-50mg-10-comprimidos/p,Indux 50mg 10 comprimidos,15.89,62.78,78.67
Cimed,7896523216812,19.17,3.65,https://www.drogariaveracruz.com.br/diad-15mg-1-comprimido/p,"Diad 1,5mg 1 comprimido",19.35,3.47,22.82
Não encontrada,Não encontrado,41.21,91.74,https://www.drogariaveracruz.com.br/inilok-40mg-apsen-60-comprimidos/p,Inilok 40mg Apsen 60 comprimidos,45.8,87.15,132.95
Não encontrada,Não encontrado,22.01,88.03,https://www.drogariaveracruz.com.br/rosucor-eze-20mg-10mg-30-capsulas-duras/p,Rosucor EZE 20mg + 10mg 30 cápsulas duras,26.41,83.63,110.04
Sanofi,7896094928046,2.09,21.18,https://www.drogariaveracruz.com.br/aas-protect-100mg-30-comprimidos-revestidos-de-liberacao-enterica/p,AAS Protect 100mg 30 comprimidos revestidos de liberação entérica,3.15,20.12,23.27
Salonpas,7896227800898,1.45,9.72,https://www.drogariaveracruz.com.br/adesivos-salonpas-pequeno-10un/p,Salonpas Adesivos Pequeno 10un,1.94,9.23,11.17
Marjan,7896226109435,32.92,116.7,https://www.drogariaveracruz.com.br/vecasten-267mg-30-comprimidos/p,"Vecasten 26,7mg 30 comprimidos",38.75,110.87,149.62
Hypera,7891142206718,,86.9,https://www.drogariaveracruz.com.br/suplemento-alimentar-em-po-bifilac-geflora-14-sticks/p,Bifilac GeFlora Probióticos 14 sticks,,82.56,
Eno,7896015511166,0.94,4.0,https://www.drogariaveracruz.com.br/sal-de-frutas-eno-laranja-2-envelopes-com-5g/p,Sal de Frutas Eno Laranja 2 envelopes com 5g,1.14,3.8,4.94
Ache,7896658025112,19.03,116.92,https://www.drogariaveracruz.com.br/prolive-30-capsulas/p,Prolive 30 cápsulas,24.88,111.07,135.95
Legrand,7896004773759,29.0,39.9,https://www.drogariaveracruz.com.br/viofta-015-10ml/p,"Viofta 0,15% 10ml",30.99,37.91,68.9
Hertz,7896331701029,1.31,2.04,https://www.drogariaveracruz.com.br/cha-stilgrip-sabor-mel-e-limao-5g/p,Chá Stilgrip Sabor Mel e Limão 5g,1.41,1.94,3.35
Ache,7896658036392,13.82,111.78,https://www.drogariaveracruz.com.br/probiotico-prohn-30-capsulas/p,Probiótico ProHN 30 cápsulas,19.41,106.19,125.6
Genomma,0650240030499,9.09,172.81,https://www.drogariaveracruz.com.br/antiverrugas-pointts-80ml/p,Antiverrugas Pointts 80ml,17.73,164.17,181.9
Biolab Sanus,7896241221853,13.16,2.69,https://www.drogariaveracruz.com.br/ablok-25mg-30-comprimidos/p,Ablok 25mg 30 comprimidos,13.29,2.56,15.85
Luftagastro,7891035650147,8.93,40.66,https://www.drogariaveracruz.com.br/lufta-gastropro-12-saches-com-10ml/p,Lufta GastroPro 12 sachês com 10ml,10.96,38.63,49.59
Boiron,7898927111090,8.7,281.2,https://www.drogariaveracruz.com.br/oscillococcinum-30-tubos/p,Oscillococcinum 30 Tubos,22.76,267.14,289.9
Arte Nativa,7898277713302,3.07,6.83,https://www.drogariaveracruz.com.br/suplemento-alimentar-sulfato-ferroso-125mgml-arte-nativa-sabor-framboesa-30ml/p,Sulfato Ferroso 125mg/ml Arte Nativa Sabor Framboesa 30ml,3.41,6.49,9.9
Procter&amp;Gamble,7891721013010,6.02,31.61,https://www.drogariaveracruz.com.br/alginac-1000-15-comprimidos-revestidos/p,Alginac 1.000 15 comprimidos revestidos,7.6,30.03,37.63
Takeda,7898560664267,27.58,169.39,https://www.drogariaveracruz.com.br/plantaben-35g-sabor-artificial-laranja-po-efervescente-30-envelopes-com-5g-cada/p,"PlantaBen 3,5g Pó Efervescente Sabor Laranja 30 envelopes",36.05,160.92,196.97
Gsk,7896015592356,0.1,1.9,https://www.drogariaveracruz.com.br/sal-de-andrews-efervescente-1-envelope-com-5g/p,Sal de Andrews Efervescente 1 envelope com 5g,0.19,1.81,2.0
Dbs Ind E Com Ltda,7898906846302,1.1,5.4,https://www.drogariaveracruz.com.br/oleo-sachet-pielsana-75cm-x-75cm-3ml/p,"Gaze de Rayon Pielsana 7,5cm X 7,5cm 3ml",1.37,5.13,6.5
Gross,3400970002146,28.13,137.33,https://www.drogariaveracruz.com.br/flebodia-600mg-30-comprimidos-revestidos/p,Flebodia 600mg 30 comprimidos revestidos,35.0,130.46,165.46
Gsk,7896269900150,3.5,23.4,https://www.drogariaveracruz.com.br/aerolin-100mcgdose-200-doses-146-ml/p,"Aerolin 100mcg/dose 200 doses 14,6 ml",4.67,22.23,26.9
Biolab Sanus,7896112402343,,44.3,https://www.drogariaveracruz.com.br/suplemento-alimentar-doss-2000ui-vitamina-d3-30-capsulas-gelatinosas-moles/p,Doss 2.000UI Vitamina D3 30 cápsulas gelatinosas moles,,42.09,
Sanofi,7891058017507,3.86,19.88,https://www.drogariaveracruz.com.br/analgesico-dorflex-36-comprimidos/p,Analgésico Dorflex 36 comprimidos,4.85,18.89,23.74
Genom,7896006220534,1.68,8.85,https://www.drogariaveracruz.com.br/apresolina-25mg-20-drageas/p,Apresolina 25mg 20 drágeas,2.12,8.41,10.53
Bausch &amp; Lomb,310119052440,15.89,77.61,https://www.drogariaveracruz.com.br/solucao-para-lentes-rigidas-boston-simplus-multiacao-120ml/p,Solução para Lentes Rígidas Boston Simplus Multiação 120ml,19.77,73.73,93.5
Sanofi,7891058003562,3.03,8.64,https://www.drogariaveracruz.com.br/puran-t4-375mcg-30-comprimidos/p,"Puran T4 37,5mcg 30 comprimidos",3.46,8.21,11.67
Hertz,7896331700404,6.34,17.16,https://www.drogariaveracruz.com.br/gotas-preciosas-30ml/p,Gotas Preciosas 30ml,7.2,16.3,23.5
Libbs,7896094201637,6.6,53.42,https://www.drogariaveracruz.com.br/laxante-muvinlax-sabor-limao-20-saches-com-14g/p,Muvinlax Sabor Limão 20 sachês,9.27,50.75,60.02
Luftagastro,7891035650130,0.77,4.02,https://www.drogariaveracruz.com.br/luftagastropro-sache-10ml/p,LuftaGastroPro Sachê 10ml,0.97,3.82,4.79
Abbott,7898590870201,13.85,112.05,https://www.drogariaveracruz.com.br/duplostat-800mg-abbott-60-capsulas-gelatinosas-moles/p,DuploStat 800mg Abbott 60 Cápsulas Gelatinosas Moles,19.45,106.45,125.9
Sanofi,7897595901323,6.01,16.25,https://www.drogariaveracruz.com.br/puran-t4-75mcg-30-comprimidos/p,Puran T4 75mcg 30 comprimidos,6.82,15.44,22.26
Catarinense,7896023719899,6.51,14.39,https://www.drogariaveracruz.com.br/xarope-melagriao-150ml/p,Melagrião Xarope 150ml,7.23,13.67,20.9
Boehringer,7898968453104,2.08,10.91,https://www.drogariaveracruz.com.br/atensina-0150mg-30-comprimidos/p,"Atensina 0,150mg 30 comprimidos",2.63,10.36,12.99
Apsen,7896637028523,17.28,17.29,https://www.drogariaveracruz.com.br/labirin-24mg-30-comprimidos/p,Labirin 24mg 30 comprimidos,18.14,16.43,34.57
Cimed,7897947612808,6.48,17.51,https://www.drogariaveracruz.com.br/lactolinea-667mgml-sabor-ameixa-120ml/p,Lactolínea 667mg/ml Sabor Ameixa 120ml,7.36,16.63,23.99
Procter&amp;Gamble,20800750165,5.86,67.37,https://www.drogariaveracruz.com.br/metamucil-sabor-laranja-10-saches-com-585g/p,"Metamucil Sabor Laranja 10 sachês com 5,85g",9.23,64.0,73.23
Neo Quimica,7896714200804,19.87,16.26,https://www.drogariaveracruz.com.br/torsilax-neo-quimica-30-comprimidos/p,Torsilax Neo Química 30 comprimidos,20.68,15.45,36.13
Natulab,7899470807997,4.56,14.43,https://www.drogariaveracruz.com.br/kalonat-10ml/p,Kalonat 20% 10ml,5.28,13.71,18.99
Sanofi,7896070603271,9.63,38.52,https://www.drogariaveracruz.com.br/nootropil-800mg-30-comprimidos-revestidos/p,Nootropil 800mg 30 comprimidos revestidos,11.56,36.59,48.15
Geolab,7899095201255,14.11,17.99,https://www.drogariaveracruz.com.br/flexalgin-300mg-125mg-50mg-30mg-30-comprimidos/p,Flexalgin 300mg + 125mg + 50mg + 30mg 30 comprimidos,15.01,17.09,32.1
Althaia,7898569765828,85.81,57.2,https://www.drogariaveracruz.com.br/vitamina-d3-50000ui-althaia-10-capsulas-moles/p,Vitamina D3 50.000UI Althaia 10 Cápsulas Moles,88.67,54.34,143.01
Salonpas,7896227800867,2.67,15.16,https://www.drogariaveracruz.com.br/adesivos-salonpas-grande-4un/p,Salonpas Adesivos Grande 4 unidades,3.43,14.4,17.83
Torrent,8903855082455,18.71,50.58,https://www.drogariaveracruz.com.br/azukon-mr-30mg-100-comprimidos-de-liberacao-prolongada/p,Azukon MR 30mg 100 comprimidos de liberação prolongada,21.24,48.05,69.29
Procter&amp;Gamble,20800750158,12.71,128.55,https://www.drogariaveracruz.com.br/fibra-metamucil-sabor-laranja-174g/p,Metamucil Sabor Laranja 174g,19.14,122.12,141.26
Ache,7896658034541,3.62,56.72,https://www.drogariaveracruz.com.br/lubrificante-ocular-laxime-015-10ml/p,"Lubrificante Ocular Laxime 0,15% 10ml",6.46,53.88,60.34
Gsk,7896015518875,8.27,66.93,https://www.drogariaveracruz.com.br/avamys-spray-nasal-275mg-120-doses-91ml/p,"Avamys Spray Nasal 27,5mg 120 doses 9,1ml",11.62,63.58,75.2
Catarinense,7896023701436,10.64,17.37,https://www.drogariaveracruz.com.br/elixir-paregorico-30ml/p,Elixir Paregórico 30ml,11.51,16.5,28.01
Apsen,7896637022811,19.99,133.77,https://www.drogariaveracruz.com.br/triancil-20mgml-solucao-injetavel-5-frascos-ampola-com-1ml-cada/p,Triancil 20mg/ml Solução Injetável 5 frascos-ampola com 1ml cada,26.68,127.08,153.76
Neo Quimica,7896714201108,4.39,9.32,https://www.drogariaveracruz.com.br/neo-folico-5mg-neo-quimica-20-comprimidos-revestidos/p,Neo Fólico 5mg Neo Química 20 comprimidos revestidos,4.86,8.85,13.71
Hypera,7896094921399,4.36,22.91,https://www.drogariaveracruz.com.br/buscopan-composto-20-comprimidos-revestidos/p,Buscopan Composto 20 comprimidos revestidos,5.51,21.76,27.27
Igefarma,7897129300516,6.83,38.69,https://www.drogariaveracruz.com.br/vitacid-025mgg-gel-25g/p,"Vitacid 0,25mg/g Gel 25g",8.76,36.76,45.52
Apsen,7896637032797,18.82,36.53,https://www.drogariaveracruz.com.br/eniagor-50mgml-solucao-capilar-refil-50ml/p,Eniagor 50mg/ml Solução Capilar Refil 50ml,20.65,34.7,55.35
Abbott,7896255764933,77.14,290.21,https://www.drogariaveracruz.com.br/tanakan-120mg-30-comprimidos-revestidos/p,Tanakan 120mg 30 comprimidos revestidos,91.65,275.7,367.35
Ache,7896658027123,16.05,78.35,https://www.drogariaveracruz.com.br/trezete-10mg-10mg-ache-30-comprimidos/p,"Trezete 10mg + 10mg Aché, 30 comprimidos",19.97,74.43,94.4
Dbs Ind E Com Ltda,7898906846494,1.7,6.8,https://www.drogariaveracruz.com.br/oleo-sachet-pielsana-75cm-x-15cm-5ml/p,"Óleo Sachet Pielsana 7,5cm X 15cm 5ml",2.04,6.46,8.5
Boehringer,7896026303088,43.95,165.32,https://www.drogariaveracruz.com.br/pradaxa-75mg-30-capsulas/p,Pradaxa 75mg 30 cápsulas,52.22,157.05,209.27
Colic Calm,7898014567410,39.14,135.76,https://www.drogariaveracruz.com.br/colic-calm-suspensao-oral-59ml/p,Colic Calm Suspensão Oral 59ml,45.93,128.97,174.9
Supera,7891317010065,9.25,37.02,https://www.drogariaveracruz.com.br/diupress-25mg-5mg-30-comprimidos/p,Diupress 25mg + 5mg 30 comprimidos,11.1,35.17,46.27
Hypera,7896094925144,1.84,21.11,https://www.drogariaveracruz.com.br/suplemento-vitaminico-ad-til-20ml/p,Ad-Til Gotas 20ml,2.9,20.05,22.95
Novo Nordisk,7897705203224,,67.36,https://www.drogariaveracruz.com.br/novolin-r-100uiml-1-ampola-com-10ml/p,Novolin R 100UI/ml 1 ampola com 10ml,,63.99,
Salonpas,7896227800881,0.65,4.33,https://www.drogariaveracruz.com.br/adesivos-salonpas-pequeno-4un/p,Salonpas Adesivos Pequeno 4un,0.87,4.11,4.98
Sanofi,7897595901033,4.69,12.67,https://www.drogariaveracruz.com.br/puran-t4-100mcg-30-comprimidos/p,Puran T4 100mcg 30 comprimidos,5.32,12.04,17.36
Libbs,7896094210080,29.21,109.9,https://www.drogariaveracruz.com.br/plenance-eze-20mg10mg-30-capsulas/p,Plenance EZE 20mg+10mg 30 Cápsulas,34.7,104.41,139.11
Cimed,7896523202822,17.35,5.09,https://www.drogariaveracruz.com.br/loratamed-10mg-cimed-12-comprimidos/p,Loratamed 10mg Cimed 12 comprimidos,17.6,4.84,22.44
Hisamitsu,4987188501115,4.4,14.9,https://www.drogariaveracruz.com.br/salonsip-empalastro-gelatinoso-3un/p,Salonpas Adesivos Gel-Patch 3un,5.14,14.16,19.3
Eurofarma,7891317010003,,38.5,https://www.drogariaveracruz.com.br/spray-nasal-snif-jet-09-100ml/p,"Spray Nasal Snif Jet 0,9% 100ml",,36.58,
Legrand,7896004812168,27.37,24.42,https://www.drogariaveracruz.com.br/xarope-expec-sabor-framboesa-e-caramelo-120ml/p,Expec Xarope Sabor Framboesa e Caramelo 120ml,28.59,23.2,51.79
Galderma,7897930761162,33.8,165.05,https://www.drogariaveracruz.com.br/clob-x-05mgml-shampoo-125ml/p,"Clob - X 0,5mg/ml Shampoo 125ml",42.05,156.8,198.85
Eli Lilly,7896382700583,16.68,71.13,https://www.drogariaveracruz.com.br/humulin-n-nph-100uiml-1-ampola-com-10ml/p,Humulin N NPH 100UI/ml 1 ampola com 10ml,20.24,67.57,87.81
União Química,7896006214007,3.42,22.9,https://www.drogariaveracruz.com.br/andriodermol-50ml/p,Andriodermol 50ml,4.56,21.76,26.32
Adv,7896230303676,2.18,7.31,https://www.drogariaveracruz.com.br/bicarbonato-de-sodio-adv-100g/p,Bicarbonato de Sódio ADV 100g,2.55,6.94,9.49
Sanofi,7891058003579,5.24,14.18,https://www.drogariaveracruz.com.br/puran-t4-625mcg-30-comprimidos/p,"Puran T4 62,5mcg 30 comprimidos",5.95,13.47,19.42
Sigma Pharma,7896004759975,16.48,93.42,https://www.drogariaveracruz.com.br/lacday-10000-fcc-alu-ems-60-comprimidos-mastigaveis/p,Lacday 10.000 FCC ALU EMS 60 comprimidos mastigáveis,21.15,88.75,109.9
Cataflam,7896261018310,14.52,70.89,https://www.drogariaveracruz.com.br/analgesico-cataflampro-emugel-150g/p,CataflamPRO Emulgel 150g,18.06,67.35,85.41
Biolab Sanus,7896112407034,,69.9,https://www.drogariaveracruz.com.br/doss-zinco-2000ui-20mg-60-capsulas-gelatinosas-moles/p,Doss Zinco 2000UI + 20mg 60 cápsulas gelatinosas moles,,66.41,
Genom,7896261006553,2.51,16.78,https://www.drogariaveracruz.com.br/slow-k-600mg-20-drageas/p,Slow - K 600mg 20 drágeas,3.35,15.94,19.29
Natulab,7899470803975,26.82,45.68,https://www.drogariaveracruz.com.br/varivax-300mg-30-comprimidos/p,Varivax 300mg 30 comprimidos,29.1,43.4,72.5
Merck,7891721201530,8.5,33.98,https://www.drogariaveracruz.com.br/glifage-xr-850mg-30-comprimidos-de-liberacao-prolongada/p,Glifage XR 850mg 30 comprimidos de liberação prolongada,10.2,32.28,42.48
Almeida Prado,7898037080460,9.2,32.63,https://www.drogariaveracruz.com.br/complexo-homeopatico-almeida-prado-n-46-60-comprimidos/p,Almeida Prado N°46 60 comprimidos,10.83,31.0,41.83
Sun Farmacêutica,7898272945692,1300.47,26.54,https://www.drogariaveracruz.com.br/anya-1mg-30-comprimidos/p,Anya 1mg 30 comprimidos,1301.8,25.21,1327.01
Gsk,7896015520533,0.63,2.36,https://www.drogariaveracruz.com.br/antiacido-sonrisal-sabor-tradicional-2-comprimidos-efervescentes/p,Sonrisal Sabor Tradicional 2 comprimidos efervescentes,0.75,2.24,2.99
Apsen,7896637031509,25.85,48.0,https://www.drogariaveracruz.com.br/inilok-40mg-apsen-30-comprimidos/p,Inilok 40mg Apsen 30 Comprimidos,28.25,45.6,73.85
Procter&amp;Gamble,7891721029394,49.96,149.89,https://www.drogariaveracruz.com.br/citoneurin-5000-100mg-100mg-5000mcg-60-drageas/p,Citoneurin 5.000 100mg + 100mg + 5.000mcg 60 comprimidos revestidos,57.45,142.4,199.85
Marjan,7896226110561,28.33,129.57,https://www.drogariaveracruz.com.br/suplemento-alimentar-ginobiotta-30-capsulas/p,Probiótico GinoBiotta Com 30 cápsulas,34.81,123.09,157.9
